time,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10
0.0,3.2301,2.6674,2.8157,3.2826,3.2628,3.0547,2.5874,3.0594,3.1679,2.9942
1.8,3.4857,2.815,3.0432,3.5285,3.5477,3.2515,2.7716,3.2459,3.3795,3.2264
3.6,3.7616,2.9707,3.2891,3.7929,3.8575,3.461,2.9689,3.4438,3.6053,3.4765
5.4,4.0592,3.1351,3.5549,4.0771,4.1943,3.684,3.1802,3.6538,3.8461,3.7461
7.2,4.3804,3.3085,3.8421,4.3826,4.5606,3.9213,3.4066,3.8766,4.103,4.0365
9.0,4.7271,3.4915,4.1526,4.7109,4.9588,4.1739,3.649,4.1129,4.3771,4.3495
10.8,5.1011,3.6847,4.4881,5.0639,5.3918,4.4429,3.9088,4.3636,4.6695,4.6867
12.600000000000001,5.5048,3.8885,4.8508,5.4433,5.8626,4.7291,4.187,4.6297,4.9814,5.0501
14.400000000000002,5.9404,4.1036,5.2428,2.8678,6.3745,5.0338,4.485,4.9119,5.3142,5.4417
16.200000000000003,6.4105,4.3306,5.6664,3.0925,6.9311,5.3581,4.8042,5.2114,5.6691,5.8636
18.000000000000004,6.9177,4.5702,6.1243,3.3348,7.5364,5.7033,5.1462,5.5291,3.106,6.3183
19.800000000000004,3.7411,4.823,3.2917,3.5961,3.9198,6.0708,5.5125,5.8662,3.3376,6.8081
21.600000000000005,4.0405,5.0898,3.5627,3.8778,4.2175,6.4619,5.9049,3.1416,3.5866,3.7569
23.400000000000006,4.3638,5.3714,3.8559,4.1816,4.5378,6.8782,6.3252,3.4272,3.8541,4.0057
25.200000000000006,4.713,5.6685,4.1733,4.5093,4.8825,3.7503,6.7754,3.7387,4.1416,4.271
27.000000000000007,5.0902,5.9821,4.5169,4.8625,2.7856,4.0,3.6789,4.0786,4.4505,4.5539
28.800000000000008,5.4976,6.313,4.8887,5.2435,2.9787,4.2662,3.9625,4.4494,4.7825,4.8556
30.60000000000001,5.9375,6.6622,5.2911,5.6543,3.1852,4.5502,4.268,4.8539,5.1392,5.1772
32.400000000000006,3.3281,3.4882,2.9021,3.0497,3.406,4.8531,4.597,2.7788,2.7727,5.5201
34.2,3.5591,3.7234,3.1389,3.2529,3.6421,5.1762,4.9515,2.9919,2.9665,5.8858
36.0,3.8061,3.9745,3.3951,3.4696,3.8946,5.5207,5.3332,3.2213,3.1738,6.2756
37.8,4.0702,4.2425,3.6721,3.7007,2.2088,5.8882,5.7444,3.4684,3.3955,6.6913
39.599999999999994,4.3527,4.5285,3.9718,3.9472,2.3959,6.2802,6.1873,3.7343,3.6328,3.7079
41.39999999999999,4.6547,4.8339,4.2959,4.2102,2.5989,6.6982,3.351,4.0207,3.8867,3.9824
43.19999999999999,4.9778,5.1599,4.6464,4.4907,2.8191,3.587,3.5391,4.329,4.1582,4.2773
44.999999999999986,5.3232,5.5078,5.0256,4.7898,3.0579,3.8802,3.7376,4.6609,4.4488,4.5941
46.79999999999998,5.6926,5.8792,5.4357,5.1089,3.317,4.1973,3.9473,5.0184,4.7597,4.9343
48.59999999999998,2.8958,6.2756,3.0175,5.4492,3.5981,4.5404,4.1688,5.4032,5.0923,5.2996
50.39999999999998,3.0784,3.3819,3.2417,5.8122,1.905,4.9115,4.4027,5.8175,2.6336,5.6921
52.199999999999974,3.2724,3.6217,3.4826,6.1994,2.0566,5.3129,4.6497,6.2636,2.8173,3.0698
53.99999999999997,3.4787,3.8785,3.7414,3.1666,2.2203,5.7471,4.9105,6.7439,3.0138,3.2893
55.79999999999997,3.698,4.1536,4.0195,3.4055,2.3971,3.1417,5.186,3.9636,3.224,3.5246
57.599999999999966,3.9311,4.4481,4.3182,3.6623,2.5879,3.3575,5.477,4.2648,3.4489,3.7766
59.39999999999996,4.1789,4.7635,4.6391,3.9386,2.794,3.5882,5.7843,4.5889,3.6895,4.0466
61.19999999999996,2.2845,5.1013,4.9839,4.2356,3.0164,3.8347,2.9755,4.9376,3.9468,4.336
62.99999999999996,2.4408,5.463,2.7893,4.5551,3.2565,4.0982,3.186,5.3128,4.2221,4.6461
64.79999999999995,2.6078,5.8504,3.0244,4.8987,3.5158,4.3797,3.4113,5.7165,4.5166,4.9783
66.59999999999995,2.7863,6.2653,3.2794,5.2681,3.7957,4.6806,3.6526,6.1509,4.8316,5.3343
68.39999999999995,2.9769,6.7096,3.5558,5.6655,4.0979,5.0022,3.911,3.2843,5.1686,2.8103
70.19999999999995,3.1806,7.1853,3.8556,6.0928,4.4241,5.3458,4.1876,3.4849,5.5291,3.0534
71.99999999999994,3.3983,7.6949,4.1807,6.5523,4.7763,5.7131,4.4838,3.6977,5.9147,3.3175
73.79999999999994,3.6308,3.9384,4.5331,3.6544,5.1566,6.1056,4.801,3.9235,3.2562,3.6045
75.59999999999994,3.8793,4.2218,4.9153,3.9111,5.5671,6.525,5.1405,4.1631,3.4929,3.9163
77.39999999999993,4.1447,4.5256,5.3296,4.1858,6.0103,3.8231,5.5041,4.4174,3.7469,4.255
79.19999999999993,4.4283,4.8513,5.7789,4.4798,3.3033,4.1502,3.0888,4.6871,4.0193,4.6231
80.99999999999993,4.7314,5.2004,3.0881,4.7944,3.5565,4.5054,3.3059,4.9734,4.3115,5.023
82.79999999999993,5.0551,5.5746,3.2837,5.1311,3.8291,4.8909,3.5382,5.2771,4.625,2.6884
84.59999999999992,2.8192,5.9758,3.4917,5.4915,4.1226,5.3095,3.7868,2.8571,4.9613,2.891
86.39999999999992,3.0158,6.4058,3.7128,5.8771,4.4385,5.7638,4.0529,3.0257,5.322,3.1089
88.19999999999992,3.2261,6.8668,3.948,6.2899,4.7787,6.2571,4.3377,3.2043,5.7089,3.3432
89.99999999999991,3.451,7.361,4.1981,3.3383,5.145,6.7925,4.6425,3.3935,6.124,3.5952
91.79999999999991,3.6917,7.8907,4.464,3.5485,2.8687,3.786,2.5086,3.5938,6.5692,3.8661
93.59999999999991,3.9491,8.4585,4.7467,3.7719,3.0364,4.0369,2.6709,3.8059,3.3991,4.1575
95.3999999999999,4.2245,4.4681,5.0474,4.0093,3.2138,4.3044,2.8437,4.0305,3.6545,4.4708
97.1999999999999,4.5191,4.7487,2.6338,4.2617,3.4017,4.5897,3.0277,4.2684,3.9291,4.8077
98.9999999999999,4.8342,5.0469,2.8155,4.53,3.6005,4.8939,3.2235,4.5204,4.2244,5.1701
100.7999999999999,2.632,5.3638,3.0097,4.8152,3.8109,5.2182,3.4321,4.7872,4.5419,5.5597
102.5999999999999,2.7809,5.7007,3.2174,5.1183,4.0337,2.9166,3.6542,5.0698,4.8831,5.9787
104.39999999999989,2.9383,6.0586,3.4394,5.4406,4.2694,3.1408,3.8906,5.369,2.5818,6.4293
106.19999999999989,3.1046,6.4391,3.6766,5.7831,4.5189,3.3822,4.1423,5.6859,2.7736,6.9138
107.99999999999989,3.2803,6.8435,3.9303,6.1471,4.7831,3.6422,4.4103,6.0215,2.9796,3.8902
109.79999999999988,3.4659,7.2732,4.2015,6.5341,5.0626,3.9221,4.6956,6.3769,3.2009,4.1955
111.59999999999988,3.662,7.73,4.4913,3.4296,5.3585,4.2236,2.4185,3.1452,3.4386,4.5249
113.39999999999988,3.8693,4.0523,4.8012,3.718,5.6717,4.5482,2.5696,3.3656,3.6939,4.8801
115.19999999999987,4.0882,4.3669,5.1324,4.0307,6.0032,4.8978,2.7302,3.6014,3.9683,5.2632
116.99999999999987,4.3196,4.706,5.4865,4.3698,6.3541,5.2743,2.9009,3.8537,4.263,5.6764
118.79999999999987,4.564,5.0713,5.865,4.7373,3.4459,5.6797,3.0822,4.1237,4.5796,2.7895
120.59999999999987,4.8223,5.4651,6.2697,2.4853,3.6676,3.058,3.2749,4.4127,4.9197,3.0022
122.39999999999986,5.0952,5.8894,3.4624,2.6369,3.9037,3.2871,3.4795,4.7219,5.2851,3.2312
124.19999999999986,2.6145,6.3467,3.6619,2.7977,4.155,3.5334,3.697,5.0527,2.8266,3.4775
125.99999999999986,2.828,6.8395,3.8728,2.9684,4.4224,3.7981,3.9281,2.6135,3.02,3.7427
127.79999999999986,3.0589,7.3705,4.096,3.1494,4.707,4.0827,4.1736,2.8076,3.2266,4.0281
129.59999999999985,3.3087,3.9504,4.3319,3.3416,5.01,4.3886,4.4345,3.0162,3.4474,4.3352
131.39999999999986,3.5789,4.2464,4.5815,3.5454,5.3324,4.7174,4.7116,3.2402,3.6833,2.2703
133.19999999999987,3.8711,4.5645,4.8454,3.7616,5.6757,5.0708,5.0061,3.4809,3.9354,2.4469
134.9999999999999,4.1872,4.9065,5.1246,3.9911,6.041,5.4507,5.319,3.7394,4.2046,2.6372
136.7999999999999,4.5291,5.2742,5.4198,4.2346,6.4298,3.0895,5.6515,4.0172,4.4924,2.8423
138.5999999999999,4.8989,5.6693,2.9195,4.4929,6.8436,3.3198,3.0236,4.3155,4.7997,3.0633
140.39999999999992,2.5611,6.0941,3.1035,2.4021,3.7038,3.5672,3.249,4.6361,5.1282,3.3016
142.19999999999993,2.7304,3.3975,3.299,2.5652,3.9693,3.8331,3.4912,4.9804,5.4791,3.5584
143.99999999999994,2.9109,3.6722,3.5069,2.7392,4.2538,1.9957,3.7515,5.3504,2.911,3.8351
145.79999999999995,3.1033,3.9691,3.7278,2.9251,4.5586,2.1332,4.0312,5.7478,3.0755,4.1334
147.59999999999997,3.3084,4.2899,3.9627,3.1236,4.8853,2.2803,4.3317,6.1747,3.2494,4.4549
149.39999999999998,3.5271,4.6367,4.2124,3.3356,5.2354,2.4375,4.6547,3.5229,3.4331,4.8013
151.2,3.7603,5.0116,4.4778,3.562,5.6106,2.6055,5.0017,3.8128,3.6271,5.1748
153.0,4.0089,5.4167,4.7599,3.8037,6.0127,2.7852,5.3746,4.1266,3.8321,2.736
154.8,4.2739,5.8546,5.0598,4.0618,6.4436,2.9772,5.7753,4.4662,4.0487,2.8836
156.60000000000002,4.5564,6.3279,5.3786,4.3375,3.6151,3.1824,6.2059,4.8337,4.2776,3.0392
158.40000000000003,4.8576,3.3461,2.9397,4.6318,3.8259,3.4018,6.6685,5.2315,4.5193,3.2032
160.20000000000005,5.1787,3.6236,3.1849,4.9461,4.049,3.6363,7.1657,5.6621,4.7748,3.3761
162.00000000000006,2.7931,3.9241,3.4506,5.2818,4.2851,3.887,7.6999,2.8796,5.0447,3.5582
163.80000000000007,3.0001,4.2495,3.7384,2.6491,4.535,1.9917,8.274,3.0856,5.3298,3.7502
165.60000000000008,3.2225,4.6019,4.0502,2.86,4.7995,2.1296,4.5271,3.3063,2.8661,3.9526
167.4000000000001,3.4613,4.9835,4.388,3.0877,5.0793,2.2771,4.8403,3.5428,3.0519,4.1659
169.2000000000001,3.7178,5.3967,4.754,3.3335,5.3755,2.4348,5.1752,3.7962,3.2496,4.3907
171.0000000000001,3.9934,3.0287,5.1505,3.5989,5.6889,2.6034,5.5332,4.0678,3.4602,4.6276
172.80000000000013,4.2893,3.2248,2.9234,3.8854,6.0207,2.7837,5.916,2.2328,3.6844,4.8773
174.60000000000014,4.6072,3.4335,3.1295,4.1947,6.3717,2.9765,6.3253,2.3994,3.9231,5.1405
176.40000000000015,4.9487,3.6558,3.3502,4.5286,3.5029,3.1826,6.7629,2.5786,4.1773,5.4179
178.20000000000016,2.7412,3.8925,3.5863,4.8891,3.7519,3.403,7.2308,2.771,4.448,5.7103
180.00000000000017,2.9054,4.1445,3.8392,5.2783,4.0185,3.6387,7.7311,2.9779,4.7362,6.0184
181.80000000000018,3.0795,4.4128,4.1099,5.6985,4.3041,1.9512,4.3068,3.2002,5.0431,6.3432
183.6000000000002,3.2639,4.6985,4.3996,3.0888,4.61,2.0909,4.6957,3.4391,5.3699,3.3567
185.4000000000002,3.4595,5.0027,4.7098,3.3359,4.9376,2.2406,5.1197,3.6958,5.7178,3.5516
187.20000000000022,3.6668,5.3266,2.4725,3.6029,5.2885,2.4011,5.5819,3.9717,6.0883,3.7578
189.00000000000023,3.8865,2.8636,2.6519,3.8911,5.6644,2.573,6.0859,4.2682,6.4828,3.976
190.80000000000024,4.1193,3.0692,2.8444,4.2025,6.067,2.7573,6.6354,4.5868,6.9029,4.2069
192.60000000000025,4.3661,3.2896,3.0508,4.5388,6.4982,2.9547,3.5304,4.9292,7.3502,4.4512
194.40000000000026,4.6277,3.5257,3.2722,4.9019,6.96,3.1663,3.7807,2.5844,7.8265,4.7096
196.20000000000027,2.3722,3.7789,3.5097,5.2942,7.4546,3.3931,4.0486,2.7523,4.2638,4.9831
198.00000000000028,2.532,4.0502,3.7644,5.7178,7.9844,3.6361,4.3356,2.931,4.649,5.2724
199.8000000000003,2.7026,4.341,4.0376,2.8652,4.5051,3.8965,4.6428,3.1214,5.069,5.5786
201.6000000000003,2.8847,4.6527,4.3306,3.0392,4.86,4.1755,4.9719,3.3242,5.527,2.8667
203.40000000000032,3.079,2.3127,4.6449,3.2238,5.2428,4.4745,5.3243,3.5401,6.0264,3.0442
205.20000000000033,3.2865,2.4653,4.982,3.4196,5.6558,4.7949,5.7017,3.77,6.5709,3.2328
207.00000000000034,3.5079,2.6281,2.7158,3.6273,6.1013,5.1383,3.0242,4.0148,3.5177,3.433
208.80000000000035,3.7442,2.8015,2.94,3.8477,6.5819,5.5063,3.2654,4.2756,3.7321,3.6457
210.60000000000036,3.9965,2.9864,3.1827,4.0814,7.1004,5.9006,3.5258,2.1729,3.9597,3.8715
212.40000000000038,4.2657,3.1835,3.4454,4.3293,7.6597,3.0944,3.8069,2.3455,4.2011,4.1113
214.2000000000004,4.5531,3.3937,3.7298,4.5923,8.2631,3.2907,4.1105,2.5317,4.4572,4.366
216.0000000000004,4.8599,3.6176,4.0377,4.8712,4.3356,3.4994,4.4383,2.7328,4.7289,4.6364
217.8000000000004,5.1873,3.8564,4.371,5.1671,4.6621,3.7214,4.7922,2.9498,5.0173,4.9236
219.60000000000042,2.844,4.111,4.7319,5.4809,5.0131,3.9575,2.6023,3.1841,5.3232,5.2285
221.40000000000043,3.0315,4.3823,5.1225,5.8139,5.3906,4.2085,2.8149,3.4369,5.6477,2.7929
